,instagram_likes,instagram_followers,created_at,title
50,1.0,26.0,2013-06-13T23:46:59Z,#cocacola #share #with #me :)
51,3.0,265.0,2013-06-13T23:46:52Z,Lack of sleep.... Nah... #lackofsleep #cocacola #atwork #losangeles #gear #hat #goatee #Salvador312
52,4.0,47.0,2013-06-13T23:46:51Z,"Chillin nite wit real niggaq from the street ya! 
#night#friends#love#chill#chillin#chilling#bed#pyjama#party#cocacola#company#cute#dream"
53,4.0,260.0,2013-06-13T23:46:51Z,#cocacola #drink #blonde #girl  #bored #red #top
54,0.0,108.0,2013-06-13T23:46:50Z,#rhumandcoke#vodkalemonade#cocacola#lemonade#alcohol#goodshit#ice#goodnight#lime#drink
55,11.0,1377.0,2013-06-13T23:46:49Z, #cocacola #love #TagsForLikes #photooftheday #me #instamood #cute #igers #picoftheday #girl #guy #beautiful #fashion #instagramers #follow #smile #pretty #followme #friends #hair #swag #photo #life #funny #cool #hot #bored #portrait #baby #girls
56,3.0,260.0,2013-06-13T23:46:49Z,#cocacola #drink #top #bored #top #new
57,7.0,123.0,2013-06-13T23:46:48Z,"Que agustito, no?"
58,0.0,173.0,2013-06-13T23:46:48Z,#cocacola #share #love #coke #instalove
59,29.0,514.0,2013-06-13T23:46:48Z,Eu te amo!
60,1.0,198.0,2013-06-13T23:46:47Z,Galerinha reunida :D  Amigos do Pré :p  #Saudades  #Amigos  #Friends  #Flocarianos #Lindos #Meus ^^ #Cocacola  #Designer
61,1.0,99.0,2013-06-13T23:46:47Z,#cocacola#adoro#me#amarro
62,0.0,233.0,2013-06-13T23:46:44Z,Summaa time #cocacola #glass #bottle
63,2.0,59.0,2013-06-13T23:43:48Z,#cocacola #leopardo #hermosa #hola #jiji #instabelieber #instachile
64,1.0,90.0,2013-06-13T23:43:47Z,#sougorda#edai#amo#batataSTAX#cocacola
65,0.0,105.0,2013-06-13T23:43:47Z,Oh yeah I finally found one :-) #myname #cocacola #bottle #niamh
66,0.0,1.0,2013-06-13T23:43:46Z,#cocacola
67,1.0,73.0,2013-06-13T23:43:46Z,Un coke hollandais  #cocacola #coke #holland #koningin
68,0.0,32.0,2013-06-13T23:43:45Z,Awww yeah. #Summer2013 is finally heeeere and #finalsaredone. #cocacola #summer #sunshine #openforsummer
69,0.0,197.0,2013-06-13T23:43:45Z,#haha #cocacola #coke #funny
70,19.0,338.0,2013-06-13T23:43:44Z,#cocacola #coca #cola #world #atlanta #georgia #music #trip #2013 #spring #break #springbreak #fun #violin #orchestra #band #cold #cute #funny #followme #like #picture #this #pic #coke #brown #bubbles
71,0.0,44.0,2013-06-13T23:43:44Z,#vicio #CocaCola
72,0.0,251.0,2013-06-13T23:43:43Z,#CocaCola
73,0.0,526.0,2013-06-13T23:43:43Z,"Ma opušteno, ovo je sve dijetalnoo. #Cocacola #chips #chilling#wit#sisters#Angelina#Marija #diet #love #ilikeit #tonight #boring #lovethem"
74,2.0,240.0,2013-06-13T23:40:50Z,Delicias de la vida con nicolee #sushi #soGood #exito #cocacola #pty #panama #albrook #mall
75,2.0,285.0,2013-06-13T23:40:48Z,Szymon...? Seriously? #coke #cocacola #haveacokewith #dublin #shop #funny #names #confused #girl #guy #? #sweet #drinks #soda
76,16.0,282.0,2013-06-13T23:40:47Z,My favorite till the end...
77,0.0,240.0,2013-06-13T23:40:47Z,Rude. #cocacola #insulting
78,0.0,277.0,2013-06-13T23:40:46Z,#vamos #juntos #colorir #o #brasil #cocacola
79,1.0,36.0,2013-06-13T23:40:45Z,#cocacola#destapalafelicidad#terraza#noche#calor#veranito#vacaciones#insta#noche.
80,0.0,228.0,2013-06-13T23:40:44Z,Morram de inveja u.u #pizza #chocolate #chicken #cocacola #yummy #NewPoint #instafood  #gordice
81,8.0,236.0,2013-06-13T23:40:44Z,#Jack & #Cola #The #Legendary #Mix #CocaCola #JackDaniels #Jennessee #Wiskey #BestFriend #Like #It #Cadeautje #Van @wichiett  #ILOVEEYOUU♥ #Instagood #Instadetail #Instamood #Drank
82,0.0,3.0,2013-06-13T23:40:43Z,#yokitos #gigantesco #cocacola #novela #minha #nada #mole #vida #feriado #adoooooro #haha
83,0.0,127.0,2013-06-13T23:40:43Z,The highlight of my day: Mexican Coke. #lunchbreak #cocacola #mexicancoke #delicious
84,0.0,99.0,2013-06-13T23:40:42Z,#cocacola@#coke #love #italy
85,1.0,163.0,2013-06-13T23:40:42Z,#me#7#followme#followback#beautifu#girl#girls#smile#infinity#love#cool#fashon#smart#italian#boy#friends#swag#hot#kisskiss#bestfriend#cocacola#ilduro
86,5.0,85.0,2013-06-13T23:37:52Z,Lo mas hermoso de esta tierra. #Mirador #Skating #Skate #CocaCola
87,0.0,33.0,2013-06-13T23:37:51Z,I should not have walked around the store the first 5 minutes of my break #foodoverload #beefjerky #reese's #blackandwhitecookie #cocacola #savingsomeofthisfortomorrow #breaktime #goodbooktodistractme
88,15.0,638.0,2013-06-13T23:37:50Z,"Presente do Dia dos Namorados, perfeito :D, o livro ""Fragmentos"" MMonroe(textos, poemas  e pensamentos escritos pela mesma, apaixonante) e um tênis Coca Cola, fodástico, o morzão caprichou <3 !!"
89,1.0,300.0,2013-06-13T23:37:49Z,#coke #cocacola #funny #LOL #evolution #bottles
90,1.0,67.0,2013-06-13T23:37:49Z,#followforfollow#follow4follow#likeforlike#like4like#cocacola#cherry#red#tastegood
91,71.0,1030.0,2013-06-13T23:37:46Z,Por hay..
92,7.0,157.0,2013-06-13T23:37:45Z,#GaitasElAngel @gaitaselangel13 #contigo#like#cocacola#quieromitermo#likeforlike#cool#termo#help#instacool#gaitas
93,0.0,265.0,2013-06-13T23:37:44Z,Lack of sleep....... Maybe.. #lackofsleep #selfie #cocacola #hat #gear #cap #atwork #goatee
94,83.0,1030.0,2013-06-13T23:37:43Z,
95,42.0,1030.0,2013-06-13T23:37:43Z,"Sígueme en Twitter :
https://twitter.com/JuanCana_"
96,74.0,1030.0,2013-06-13T23:37:42Z,
97,1.0,247.0,2013-06-13T23:34:49Z,#vamoscoloriroBrasil #CocaCola #Coke #zédobocha #soprarelaxar #suavenanave
98,20.0,66.0,2013-06-13T23:34:49Z,#cocacola #sprite #sambuca #old #alco #spb
99,1.0,187.0,2013-06-13T23:34:48Z,My baby and.mother happy bday mom love you!  #cocacola #squirt #coronas #anthonyallinlovewithice
100,6.0,402.0,2013-06-13T23:34:47Z,#jackdaniels® #bbq #party at #križanke with ma #boy #brother and @sasabernetic.  #goodoldtimes #grill #steak #goodfood #drinks #wishey #friends #cheers  #livelife #loveit #instafoto #barbecue #cocacola #fun
101,7.0,48.0,2013-06-13T23:34:46Z,#colorful #lights #cocacola #lindo #love #food #beautiful #galaxysiii #instapic #instafood #sweet #style #lights #like #nice #vicio
102,0.0,136.0,2013-06-13T23:34:45Z,#lipstick #gaseosa #good #fanta #cocacola #sprite #bargs
103,4.0,46.0,2013-06-13T23:34:44Z,#share#a#coke#love#found#a#cocacola#with#my#boyfriends#name#together#with#my#friends#bf#love#soda#red#Dennis#cola#bottle#tag4likes#friend#relationship#freertime#break#food ;-)
104,0.0,22.0,2013-06-13T23:34:44Z,#bong#pipe#hooka#420#cocacola#followback#friends#music#wizkhalifa
105,0.0,22.0,2013-06-13T23:34:43Z,#weed#420#cocacola#bong#pipe#hooka#followback #wizkhalifa#
106,3.0,338.0,2013-06-13T23:31:52Z,#Dinner #Restaurant #Vips #Burger #Patatoes #CheeseBurger #Heinz #Coke #CocaCola #Friends #Perfect #Fantastic #Delicious #Madrid #Spain #España #instapic #instacool #instagood #instaperfect #instafantastic #instaawesome #instagram #instagramhub #tweetgram #instamadrid #instaspain #instafriends #instanice
107,8.0,238.0,2013-06-13T23:31:51Z,I'm just so cool that I'm drinking coke out of a flounder. #weird #lol #me #selfie #fish #l4l #like4like #likeforlike #cute #cocacola
108,3.0,110.0,2013-06-13T23:31:50Z,#GYM  #Smile #Body #Look #coke #cocacola #phone #Happy #Hello #Boy #Photoftheday #picoftheday #StayStrong #Warrior #WeCantStop #like #Likeforlike #fallow #fallowback
109,0.0,137.0,2013-06-13T23:31:50Z,Me sinto feliz agora. #CocaCola
110,9.0,272.0,2013-06-13T23:31:49Z,#atlanta #museum #cocacola #day #me #bro #bellos #funny  #summer
111,0.0,143.0,2013-06-13T23:31:48Z,#cocacola #vicio
112,0.0,174.0,2013-06-13T23:31:46Z,I'm not a Coca Cola fan but this made me smile
113,4.0,13.0,2013-06-13T23:31:43Z,#cocacola #coca-cola #russia #summer #лето #утро #роса
114,0.0,45.0,2013-06-13T23:28:52Z,#pisstake #forthecrack #xD I'm beautiful haha! XD #jokes #happy #hair #cocacola #uk
