"X","Unnamed..0","Unnamed..0.1","instagram_likes","instagram_comments","instagram_followers","country","title","zip","kmeans","X.cocacola","X.coke","X.love","a","X.drink","X.cola","my","i","X.me","X.instagood","the","X.followme","X.summer","X.like","X.red","X.name","X.coca","with","X.instagram","coke","X.follow","X.friends","X.happy","coca","de","X.picoftheday","to","X.share","cola","X.photooftheday","X..","and","X.my","X.food","X.tagsforlikes","me","X.instadaily","X.cool","X.instamood","la","X.fun","X.cute","this","X.girl","in.","X.with","X.like4like","X.swag","is","of","rf"
2242,2242,"2242",1,0,1577,NA,"I wanna test it ïç’ #runwayblog #cocacola #cherry #newin",NA,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7871556483071
2592,2592,"2592",3,0,230,NA,"TFLers #tweegram #photooftheday #funny #amazing #followme #friends #look #instalike #igers #picoftheday #cocacola #instadaily #instafollow #like #girls #iphoneonly #instagood #bestoftheday #instacool #instago #all_shots #follow #webstagram #colorful #my #girl @laurabusquets09",NA,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12.1918196248196
7845,7845,"7844",23,1,173,NA,"Thank you CocaCola!âœ‹âù_",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9002778037652
4408,4408,"4408",2,0,290,NA,"AIMAR'S BACK!! #nephew #cocacolalovers #cocacola",NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43480961082808
1341,1341,"1341",1,0,85,NA,"#cocacola #shareacoke #with #sheila&anna #dose #cool #greenfield #festival ï˜_",NA,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.74450474113429
6324,6324,"6324",NA,NA,NA,NA,"#cocacola #podjeli_radost #twitter !!! http://t.co/PnAjiL7FIH",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
178,178,"178",1,0,31,"Brazil","#cocacola#night#goodnigth#happy#bye.","72215-011",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76221119821691
1743,1743,"1743",0,0,1,NA,"#cocacola #refresco #verano2013",NA,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816563582966804
1958,1958,"1958",0,0,81,NA,"Canette #CocaCola Les #Choux ! @CinemaParadiso #Paris !",NA,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6302401548498
6059,6059,"6059",0,0,52,NA,"No. I don't shear my coke with my ""friends"" #lovemilla #ylesummer #summer #cocacola #kakka",NA,9,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70657497895277
