,Unnamed: 0,instagram_likes,instagram_comments,instagram_followers,country,title,zip,#cocacola,#coke,#love,#CocaCola,#drink,a,#cola,#instagood,#me,I,my,#followme,#summer,#like,#red,the,#name,#coca,with,#instagram,#follow,#friends,#happy,#picoftheday,de,to,#share,#photooftheday,:),#my,#food,and,#instadaily,#instamood,#cool,#cute,#fun,coke,#girl,me,#like4like,in,#with,#swag,of,is,la,for,#instalike,this,#likeforlike,#bottle,#igers,#lol,#smile,#tagsforlikes,#yummy,#beautiful,Coca,cola,!,on,#sun,<3,#l4l,you,name,:D,#shareacoke,#soda,#follow4follow,#instapic,que,#instalove,nan,#instacool,#fashion,#good,#yum,❤,My,#iphonesia,#Cocacola,#friend,coca,#funny,#bestoftheday,#a,#vanilla,#nice,#f4f,#school,#best,#amazing,found,it,#zero,#sweet,#webstagram,#photo
10,10,0.0,0.0,54.0,,#cocacola,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,288.0,12.0,967.0,,"I was never afraid of the everyday life, the habit is not a fate. We can reinvent every day, the luxury and the commonplace, the immoderation and the common. I believe in the passion which develops, to the memory of the feeling...",,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,2.0,0.0,12.0,,#expense #instamood #milo #fanta #cocacola #sprite #instagood #like4like #likeforlike #likes,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,1.0,0.0,83.0,Mexico,#por#que#no#cocacola#zero@ch14_instagram,47800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,0.0,1.0,346.0,,Edgar & I sporting winter inspired pajama pants! #socomfy #winter #penuins #polarbears #cocacola maybe? #studious #studying #calculus & #statics #summerschool #collegeprobs,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,0.0,1.0,269.0,,"Abastecimiento para una semana, SOLO PARA MI ❤❤❤❤❤❤",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,0.0,0.0,66.0,,Coca-cola para el alma. #cocacola #red #black #coke #yummi #instayolo #lol #love #drink,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,0.0,0.0,116.0,,No puedo decir no a esto #cocacola #oreo,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,1.0,1.0,16.0,,#coke #fun #cocacola #promojob #loveit,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,0.0,0.0,84.0,,Panorama para dia jueved #Flordecaña #monster #cocacola y luego a #Amazing ;))),,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
