,instagram_likes,instagram_comments,instagram_followers,country,title,zip
64,1,0,90,,#sougorda#edai#amo#batataSTAX#cocacola,
65,0,0,105,,Oh yeah I finally found one :-) #myname #cocacola #bottle #niamh,
66,0,0,1,,#cocacola,
67,1,0,73,,Un coke hollandais ï‡·ï‡º #cocacola #coke #holland #koningin,
68,0,0,32,,Awww yeah. #Summer2013 is finally heeeere and #finalsaredone. #cocacola #summer #sunshine #openforsummer,
69,0,0,197,,#haha #cocacola #coke #funny,
70,19,0,338,,#cocacola #coca #cola #world #atlanta #georgia #music #trip #2013 #spring #break #springbreak #fun #violin #orchestra #band #cold #cute #funny #followme #like #picture #this #pic #coke #brown #bubbles,
71,0,0,44,,#vicio #CocaCola,
72,0,0,251,Mexico,#CocaCola,55710
73,0,0,526,,"Ma opuÅ¡teno, ovo je sve dijetalnoo. #Cocacola #chips #chilling#wit#sisters#Angelina#Marija #diet #love #ilikeit #tonight #boring #lovethem",
74,2,0,240,,Delicias de la vida con nicolee #sushi #soGood #exito #cocacola #pty #panama #albrook #mall,
75,2,0,285,,Szymon...? Seriously? #coke #cocacola #haveacokewith #dublin #shop #funny #names #confused #girl #guy #? #sweet #drinks #soda,
76,16,1,282,Uzbekistan,My favorite till the end...,
77,0,0,240,,Rude. #cocacola #insulting,
78,0,0,277,,#vamos #juntos #colorir #o #brasil #cocacola,
79,1,0,36,,#cocacola#destapalafelicidad#terraza#noche#calor#veranito#vacaciones#insta#noche.,
80,0,0,228,,Morram de inveja u.u #pizza #chocolate #chicken #cocacola #yummy #NewPoint #instafood  #gordice,
81,8,0,236,,#Jack & #Cola #The #Legendary #Mix #CocaCola #JackDaniels #Jennessee #Wiskey #BestFriend #Like #It #Cadeautje #Van @wichiett  #ILOVEEYOUUâ™¥ #Instagood #Instadetail #Instamood #Drank,
82,0,0,3,,#yokitos #gigantesco #cocacola #novela #minha #nada #mole #vida #feriado #adoooooro #haha,
83,0,0,127,,The highlight of my day: Mexican Coke. #lunchbreak #cocacola #mexicancoke #delicious,
84,0,0,99,United States,#cocacola@#coke #love #italy,46143
85,1,0,163,,#me#7#followme#followback#beautifu#girl#girls#smile#infinity#love#cool#fashon#smart#italian#boy#friends#swag#hot#kisskiss#bestfriend#cocacola#ilduro,
86,5,0,85,,Lo mas hermoso de esta tierra. #Mirador #Skating #Skate #CocaCola,
87,0,0,33,,I should not have walked around the store the first 5 minutes of my break #foodoverload #beefjerky #reese's #blackandwhitecookie #cocacola #savingsomeofthisfortomorrow #breaktime #goodbooktodistractme,
88,15,1,638,Brazil,"Presente do Dia dos Namorados, perfeito :D, o livro ""Fragmentos"" MMonroe(textos, poemas  e pensamentos escritos pela mesma, apaixonante) e um tÃªnis Coca Cola, fodÃ¡stico, o morzÃ£o caprichou <3 !!",
89,1,0,300,,#coke #cocacola #funny #LOL #evolution #bottles,
90,1,0,67,,#followforfollow#follow4follow#likeforlike#like4like#cocacola#cherry#red#tastegood,
91,71,4,1030,,Por hay..ï_´,
92,7,1,157,Venezuela,#GaitasElAngel @gaitaselangel13 #contigo#like#cocacola#quieromitermo#likeforlike#cool#termo#help#instacool#gaitas,
93,0,0,265,United States,Lack of sleep....... Maybe.. #lackofsleep #selfie #cocacola #hat #gear #cap #atwork #goatee,90007
94,83,4,1030,,ï˜Å,
95,42,6,1030,,"SÃ_gueme en Twitter :
https://twitter.com/JuanCana_",
96,74,2,1030,,,
97,1,0,247,Brazil,#vamoscoloriroBrasil #CocaCola #Coke #zÃ©dobocha #soprarelaxar #suavenanave,17230-000
