,instagram_likes,instagram_comments,instagram_followers,country,title,zip
55,11.0,0.0,1377.0,, #cocacola #love #TagsForLikes #photooftheday #me #instamood #cute #igers #picoftheday #girl #guy #beautiful #fashion #instagramers #follow #smile #pretty #followme #friends #hair #swag #photo #life #funny #cool #hot #bored #portrait #baby #girls,
56,3.0,0.0,260.0,,#cocacola #drink #top #bored #top #new,
57,7.0,1.0,123.0,,"Que agustito, no?",
58,0.0,0.0,173.0,,#cocacola #share #love #coke #instalove,
59,29.0,6.0,514.0,,Eu te amo!,
60,1.0,0.0,198.0,Brazil,Galerinha reunida :D  Amigos do Pré :p  #Saudades  #Amigos  #Friends  #Flocarianos #Lindos #Meus ^^ #Cocacola  #Designer,59075-000
61,1.0,0.0,99.0,Brazil,#cocacola#adoro#me#amarro,02179-000
62,0.0,0.0,233.0,,Summaa time #cocacola #glass #bottle,
63,2.0,0.0,59.0,,#cocacola #leopardo #hermosa #hola #jiji #instabelieber #instachile,
64,1.0,0.0,90.0,,#sougorda#edai#amo#batataSTAX#cocacola,
65,0.0,0.0,105.0,,Oh yeah I finally found one :-) #myname #cocacola #bottle #niamh,
66,0.0,0.0,1.0,,#cocacola,
67,1.0,0.0,73.0,,Un coke hollandais  #cocacola #coke #holland #koningin,
68,0.0,0.0,32.0,,Awww yeah. #Summer2013 is finally heeeere and #finalsaredone. #cocacola #summer #sunshine #openforsummer,
69,0.0,0.0,197.0,,#haha #cocacola #coke #funny,
70,19.0,0.0,338.0,,#cocacola #coca #cola #world #atlanta #georgia #music #trip #2013 #spring #break #springbreak #fun #violin #orchestra #band #cold #cute #funny #followme #like #picture #this #pic #coke #brown #bubbles,
71,0.0,0.0,44.0,,#vicio #CocaCola,
72,0.0,0.0,251.0,Mexico,#CocaCola,55710
73,0.0,0.0,526.0,,"Ma opušteno, ovo je sve dijetalnoo. #Cocacola #chips #chilling#wit#sisters#Angelina#Marija #diet #love #ilikeit #tonight #boring #lovethem",
74,2.0,0.0,240.0,,Delicias de la vida con nicolee #sushi #soGood #exito #cocacola #pty #panama #albrook #mall,
75,2.0,0.0,285.0,,Szymon...? Seriously? #coke #cocacola #haveacokewith #dublin #shop #funny #names #confused #girl #guy #? #sweet #drinks #soda,
76,16.0,1.0,282.0,Uzbekistan,My favorite till the end...,
77,0.0,0.0,240.0,,Rude. #cocacola #insulting,
78,0.0,0.0,277.0,,#vamos #juntos #colorir #o #brasil #cocacola,
79,1.0,0.0,36.0,,#cocacola#destapalafelicidad#terraza#noche#calor#veranito#vacaciones#insta#noche.,
80,0.0,0.0,228.0,,Morram de inveja u.u #pizza #chocolate #chicken #cocacola #yummy #NewPoint #instafood  #gordice,
81,8.0,0.0,236.0,,#Jack & #Cola #The #Legendary #Mix #CocaCola #JackDaniels #Jennessee #Wiskey #BestFriend #Like #It #Cadeautje #Van @wichiett  #ILOVEEYOUU♥ #Instagood #Instadetail #Instamood #Drank,
82,0.0,0.0,3.0,,#yokitos #gigantesco #cocacola #novela #minha #nada #mole #vida #feriado #adoooooro #haha,
83,0.0,0.0,127.0,,The highlight of my day: Mexican Coke. #lunchbreak #cocacola #mexicancoke #delicious,
84,0.0,0.0,99.0,United States,#cocacola@#coke #love #italy,46143
85,1.0,0.0,163.0,,#me#7#followme#followback#beautifu#girl#girls#smile#infinity#love#cool#fashon#smart#italian#boy#friends#swag#hot#kisskiss#bestfriend#cocacola#ilduro,
86,5.0,0.0,85.0,,Lo mas hermoso de esta tierra. #Mirador #Skating #Skate #CocaCola,
87,0.0,0.0,33.0,,I should not have walked around the store the first 5 minutes of my break #foodoverload #beefjerky #reese's #blackandwhitecookie #cocacola #savingsomeofthisfortomorrow #breaktime #goodbooktodistractme,
88,15.0,1.0,638.0,Brazil,"Presente do Dia dos Namorados, perfeito :D, o livro ""Fragmentos"" MMonroe(textos, poemas  e pensamentos escritos pela mesma, apaixonante) e um tênis Coca Cola, fodástico, o morzão caprichou <3 !!",
89,1.0,0.0,300.0,,#coke #cocacola #funny #LOL #evolution #bottles,
90,1.0,0.0,67.0,,#followforfollow#follow4follow#likeforlike#like4like#cocacola#cherry#red#tastegood,
91,71.0,4.0,1030.0,,Por hay..,
92,7.0,1.0,157.0,Venezuela,#GaitasElAngel @gaitaselangel13 #contigo#like#cocacola#quieromitermo#likeforlike#cool#termo#help#instacool#gaitas,
93,0.0,0.0,265.0,United States,Lack of sleep....... Maybe.. #lackofsleep #selfie #cocacola #hat #gear #cap #atwork #goatee,90007
94,83.0,4.0,1030.0,,,
95,42.0,6.0,1030.0,,"Sígueme en Twitter :
https://twitter.com/JuanCana_",
96,74.0,2.0,1030.0,,,
97,1.0,0.0,247.0,Brazil,#vamoscoloriroBrasil #CocaCola #Coke #zédobocha #soprarelaxar #suavenanave,17230-000
98,20.0,0.0,66.0,Russia,#cocacola #sprite #sambuca #old #alco #spb,188355
99,1.0,0.0,187.0,,My baby and.mother happy bday mom love you!  #cocacola #squirt #coronas #anthonyallinlovewithice,
100,6.0,0.0,402.0,Slovenia,#jackdaniels® #bbq #party at #križanke with ma #boy #brother and @sasabernetic.  #goodoldtimes #grill #steak #goodfood #drinks #wishey #friends #cheers  #livelife #loveit #instafoto #barbecue #cocacola #fun,1000
101,7.0,0.0,48.0,,#colorful #lights #cocacola #lindo #love #food #beautiful #galaxysiii #instapic #instafood #sweet #style #lights #like #nice #vicio,
102,0.0,0.0,136.0,,#lipstick #gaseosa #good #fanta #cocacola #sprite #bargs,
103,4.0,0.0,46.0,Denmark,#share#a#coke#love#found#a#cocacola#with#my#boyfriends#name#together#with#my#friends#bf#love#soda#red#Dennis#cola#bottle#tag4likes#friend#relationship#freertime#break#food ;-),7430
104,0.0,0.0,22.0,,#bong#pipe#hooka#420#cocacola#followback#friends#music#wizkhalifa,
105,0.0,0.0,22.0,,#weed#420#cocacola#bong#pipe#hooka#followback #wizkhalifa#,
106,3.0,0.0,338.0,,#Dinner #Restaurant #Vips #Burger #Patatoes #CheeseBurger #Heinz #Coke #CocaCola #Friends #Perfect #Fantastic #Delicious #Madrid #Spain #España #instapic #instacool #instagood #instaperfect #instafantastic #instaawesome #instagram #instagramhub #tweetgram #instamadrid #instaspain #instafriends #instanice,
107,8.0,0.0,238.0,,I'm just so cool that I'm drinking coke out of a flounder. #weird #lol #me #selfie #fish #l4l #like4like #likeforlike #cute #cocacola,
108,3.0,0.0,110.0,,#GYM  #Smile #Body #Look #coke #cocacola #phone #Happy #Hello #Boy #Photoftheday #picoftheday #StayStrong #Warrior #WeCantStop #like #Likeforlike #fallow #fallowback,
109,0.0,0.0,137.0,,Me sinto feliz agora. #CocaCola,
110,9.0,1.0,272.0,,#atlanta #museum #cocacola #day #me #bro #bellos #funny  #summer,
111,0.0,0.0,143.0,Brazil,#cocacola #vicio,64025-520
112,0.0,1.0,174.0,,I'm not a Coca Cola fan but this made me smile,
113,4.0,0.0,13.0,Russia,#cocacola #coca-cola #russia #summer #лето #утро #роса,
114,0.0,0.0,45.0,,#pisstake #forthecrack #xD I'm beautiful haha! XD #jokes #happy #hair #cocacola #uk,
115,1.0,0.0,586.0,,looook at what my mommy got ! my uncle will foreverrr live on (; I love and miss you #uncledavid #cocacola # r.i.p,
116,16.0,1.0,424.0,,Nao quero nem imaginar como é viver sem você!,
117,2.0,0.0,612.0,,"It's been too long, my love. #coke #cocacola",
118,5.0,0.0,158.0,,#My #Bob #Esponja #Glass #Super #Cute #I #Love #It #Yellow #CocaCola #Best #Thing #I #Bought #Ever #Nocilla #Chocolate,
119,0.0,0.0,175.0,Brazil,"Sozinho em casa da nisso!

#lanche
#batatafrita
#cocacola
#adoroo",12061-600
120,2.0,0.0,1147.0,United States,#comparison #solo #shotcup #cocacola ft. @notneeko & @shebsthompson,89144
121,1.0,0.0,108.0,,Conseguiii coleção coca-cola!!! #brasil #brasilian #instragam #instago #now #instanow #cocacola #verde #azul #amarelo #three #coleção #fanática #amo #instabrazil #life,
122,0.0,0.0,199.0,,#much #love #fanta #cocacola #amorplatonik #latita #rojo #naranja,
123,0.0,0.0,362.0,Brazil,Hmm #pizza #cocacola #delicias,06210-130
